"id","type","label","spatially-within","url"
"vicolo-di-lucrezio-frontone","street","Vicolo di Lucrezio Frontone","r5","http://p-lod.org/urn/urn:p-lod:id:vicolo-di-lucrezio-frontone"
"vicolo-di-mercurio","street","Vicolo di Mercurio","r6","http://p-lod.org/urn/urn:p-lod:id:vicolo-di-mercurio"
"vicolo-di-modesto","street","Vicolo di Modesto","r6","http://p-lod.org/urn/urn:p-lod:id:vicolo-di-modesto"
"vicolo-di-narciso","street","Vicolo di Narciso","r6","http://p-lod.org/urn/urn:p-lod:id:vicolo-di-narciso"
"vicolo-di-octavius-quartio","street","Vicolo di Octavius Quartio","r2","http://p-lod.org/urn/urn:p-lod:id:vicolo-di-octavius-quartio"
"vicolo-di-paquius-proculus","street","Vicolo di Paquius Proculus","r1","http://p-lod.org/urn/urn:p-lod:id:vicolo-di-paquius-proculus"
"vicolo-di-tesmo","street","Vicolo di Tesmo","r9","http://p-lod.org/urn/urn:p-lod:id:vicolo-di-tesmo"
"vicolo-r1-i1-i5-fortification-wall","street","Vicolo I.1-5-Fortification Wall","r1","http://p-lod.org/urn/urn:p-lod:id:vicolo-r1-i1-i5-fortification-wall"
"vicolo-r1-i1-r1-i5","street","Vicolo I.1-I.5","r1","http://p-lod.org/urn/urn:p-lod:id:vicolo-r1-i1-r1-i5"
"vicolo-r1-i17-r1-i16","street","Vicolo I.17-I.16","r1","http://p-lod.org/urn/urn:p-lod:id:vicolo-r1-i17-r1-i16"
"vicolo-r1-i17-r1-i18","street","Vicolo I.17-I.18","r1","http://p-lod.org/urn/urn:p-lod:id:vicolo-r1-i17-r1-i18"
"vicolo-r1-i18-r1-i19","street","Vicolo I.18-I.19","r1","http://p-lod.org/urn/urn:p-lod:id:vicolo-r1-i18-r1-i19"
"vicolo-r1-i2-r1-i19-r1-i3-r1-i10","street","Vicolo I.2-19-I.3-10","r1","http://p-lod.org/urn/urn:p-lod:id:vicolo-r1-i2-r1-i19-r1-i3-r1-i10"
"vicolo-r1-i20-r1-i22-fortification-wall","street","Vicolo I.20-22-Fortification Wall","r1","http://p-lod.org/urn/urn:p-lod:id:vicolo-r1-i20-r1-i22-fortification-wall"
"vicolo-r1-i8-r1-i9","street","Vicolo I.8-I.9","r1","http://p-lod.org/urn/urn:p-lod:id:vicolo-r1-i8-r1-i9"
