"id","best-image","broader","description","type","label","manto-url","wikidata-url","url"
"cauldron","","","","concept","Cauldron","","","https://p-lod.org/id/cauldron"
"ceiling","","","","concept","Ceiling","","","https://p-lod.org/id/ceiling"
"ceiling__coffered","","","","concept","","","","https://p-lod.org/id/ceiling__coffered"
"celestial_body","","","","concept","Celestial body","","","https://p-lod.org/id/celestial_body"
"censor","","","","concept","Censor","","","https://p-lod.org/id/censor"
"centaur","","mythological_creature","","concept","Centaur","","http://www.wikidata.org/entity/Q83203","https://p-lod.org/id/centaur"
"ceres","","roman_deity","","concept","Ceres","","","https://p-lod.org/id/ceres"
"chain","","","","concept","Chain","","http://www.wikidata.org/entity/Q2397485","https://p-lod.org/id/chain"
"chair","","","","concept","Chair","","","https://p-lod.org/id/chair"
"chalice","","","","concept","Chalice","","","https://p-lod.org/id/chalice"
"chandelier","","","","concept","Chandelier","","","https://p-lod.org/id/chandelier"
"chariot","","vehicle","","concept","Chariot","","http://www.wikidata.org/entity/Q203788","https://p-lod.org/id/chariot"
"charioteer","","generic_human_figure","","concept","Charioteer","","","https://p-lod.org/id/charioteer"
"checkered___squared","","","","concept","","","","https://p-lod.org/id/checkered___squared"
"cheetah","","animal","","concept","Cheetah","","","https://p-lod.org/id/cheetah"
"cheiron","","","","concept","","","","https://p-lod.org/id/cheiron"
"chelys","","","","concept","","","","https://p-lod.org/id/chelys"
"cherry","","fruit","","concept","Cherry","","http://www.wikidata.org/entity/Q196","https://p-lod.org/id/cherry"
"chicken","","bird","","concept","Chicken","","http://www.wikidata.org/entity/Q780","https://p-lod.org/id/chicken"
"child","","generic_human_figure","","concept","Child","","http://www.wikidata.org/entity/Q7569","https://p-lod.org/id/child"
"chiron","","mythological_creature","","concept","Chiron","","http://www.wikidata.org/entity/Q183417","https://p-lod.org/id/chiron"
"chiton","","clothing","","concept","Chiton","","http://www.wikidata.org/entity/Q944031","https://p-lod.org/id/chiton"
"chlamys","","","","concept","Chlamys","","http://www.wikidata.org/entity/Q1075155","https://p-lod.org/id/chlamys"
"circe","","mythological_figure","","concept","Circe","","http://www.wikidata.org/entity/Q187602","https://p-lod.org/id/circe"
